Nicolas;54;18;09.02.2026;09:05:26
test2;29;12;09.02.2026;09:05:47
test3;4;15;09.02.2026;09:06:10
test5;53;18;09.02.2026;09:06:34
test5;55;22;09.02.2026;09:18:53
Nigolas;172;100;09.02.2026;09:20:40
Flotschi;31;11;11.02.2026;10:03:37
x;4;7;11.02.2026;10:03:52
bb;12;6;11.02.2026;10:28:17
test;12;4;11.02.2026;10:43:34
Nigi;171;106;04.03.2026;10:08:06

